TaskID    GiftID    GiftType  TaskType    RequestTime   TaskArrival  TT    Responsible 
137       56        3         D           55           58            2     S          
138       60        1         C           59           59            1     A          
139       57        2         C           56           59            1     B          
141       61        1         C           60           60            1     A          
140       59        1         D           58           59            2     S          
142       60        1         D           59           60            2     S          
143       57        2         D           56           60            3     S          
134       58        2         P           57           57            7     A          
146       63        3         A           62           62            2     B          
145       61        1         D           60           61            3     S          
113       48        4         Q           47           0             65    S          
150       58        2         C           57           64            1     B          
147       64        1         C           63           63            2     A          
121       51        4         Q           50           0             66    S          
151       63        3         C           62           64            2     B          
152       48        4         C           47           65            1     A          
153       58        2         D           57           65            2     S          
158       51        4         C           50           66            1     A          
157       67        1         C           66           66            1     B          
156       64        1         D           63           65            3     S          
161       68        1         C           67           67            1     A          
159       63        3         D           62           66            3     S          
164       69        1         C           68           68            1     B          
166       70        1         C           69           69            1     B          
160       48        4         D           47           66            4     S          
144       62        2         P           61           61            10    A          
169       71        1         C           70           70            1     B          
162       51        4         D           50           67            4     S          
170       62        2         C           61           71            1     A          
163       67        1         D           66           67            5     S          
172       72        1         C           71           71            1     B          
165       68        1         D           67           68            5     S          
174       73        3         A           72           72            2     B          
167       69        1         D           68           69            5     S          
148       65        4         P           64           64            11    A          
177       73        3         C           72           74            1     B          
168       70        1         D           69           70            5     S          
171       71        1         D           70           71            5     S          
178       75        3         A           74           74            3     B          
173       62        2         D           61           72            5     S          
154       66        4         P           65           65            13    A          
180       76        1         C           75           75            3     B          
175       72        1         D           71           72            6     S          
182       75        3         C           74           77            2     A          
179       73        3         D           72           75            4     S          
181       77        3         A           76           76            4     B          
185       79        1         C           78           78            2     A          
184       76        1         D           75           78            2     S          
188       77        3         C           76           80            1     A          
186       75        3         D           74           79            2     S          
187       80        1         C           79           79            2     B          
192       82        1         C           81           81            1     B          
189       79        1         D           78           80            2     S          
191       77        3         D           76           81            2     S          
176       74        2         P           73           73            11    A          
194       83        3         A           82           82            2     B          
193       80        1         D           79           81            3     S          
196       84        1         C           83           83            2     A          
197       74        2         C           73           84            1     B          
195       82        1         D           81           82            3     S          
198       83        3         C           82           84            2     A          
199       85        1         C           84           84            2     B          
200       84        1         D           83           85            1     S          
202       86        1         C           85           85            2     A          
205       87        1         C           86           86            1     B          
201       74        2         D           73           85            2     S          
203       83        3         D           82           86            2     S          
209       89        1         C           88           88            1     B          
204       85        1         D           84           86            3     S          
183       78        2         P           77           77            13    A          
206       86        1         D           85           87            3     S          
212       78        2         C           77           90            1     A          
208       87        1         D           86           87            4     S          
210       90        3         A           89           89            2     B          
215       90        3         C           89           91            1     B          
213       91        1         C           90           90            2     A          
211       89        1         D           88           89            3     S          
218       93        1         C           92           92            1     A          
216       92        1         C           91           91            2     B          
214       78        2         D           77           91            2     S          
217       90        3         D           89           92            2     S          
221       94        3         A           93           93            2     B          
219       91        1         D           90           92            3     S          
190       81        2         P           80           80            16    A          
223       95        1         C           94           94            2     B          
220       93        1         D           92           93            3     S          
225       94        3         C           93           95            2     A          
226       81        2         C           80           96            1     B          
222       92        1         D           91           93            4     S          
228       95        1         D           94           96            2     S          
224       96        3         A           95           95            4     B          
229       94        3         D           93           97            2     S          
207       88        2         P           87           87            13    A          
233       96        3         C           95           99            1     B          
231       81        2         D           80           97            3     S          
235       88        2         C           87           100           1     A          
236       96        3         D           95           100           1     S          
237       101       1         C           100          100           2     A          
227       97        3         A           96           96            6     B          
238       88        2         D           87           101           1     S          
242       97        3         C           96           102           1     B          
149       65        4         Q           64           0             103   S          
241       101       1         D           100          102           2     S          
232       99        2         P           98           98            7     A          
230       98        3         A           97           97            8     B          
244       97        3         D           96           103           2     S          
246       65        4         C           64           103           3     A          
248       99        2         C           98           105           1     B          
155       66        4         Q           65           0             106   S          
249       98        3         C           97           105           2     A          
250       106       1         C           105          105           2     B          
251       65        4         D           64           106           1     S          
255       66        4         C           65           106           2     A          
252       99        2         D           98           106           2     S          
239       102       5         A           101          101           8     B          
256       98        3         D           97           107           2     S          
257       106       1         D           105          107           3     S          
234       100       2         P           99           99            12    A          
258       108       3         A           107          107           4     B          
259       66        4         D           65           108           3     S          
262       111       1         C           110          110           2     A          
263       100       2         C           99           111           1     B          
240       102       5         Q           101          101           11    S          
264       108       3         C           107          111           2     A          
265       112       1         C           111          111           2     B          
266       111       1         D           110          112           1     S          
268       102       5         C           101          112           2     A          
267       100       2         D           99           112           2     S          
272       114       1         C           113          113           2     A          
261       110       3         A           109          109           6     B          
270       108       3         D           107          113           2     S          
276       110       3         C           109          115           1     B          
271       112       1         D           111          113           3     S          
273       102       5         D           101          114           3     S          
243       103       2         P           102          102           16    A          
279       117       3         A           116          116           2     B          
275       114       1         D           113          115           3     S          
281       103       2         C           102          118           1     A          
282       119       1         C           118          118           1     B          
278       110       3         D           109          116           3     S          
